id_global,movieId,imdbid,budget,original_title,popularity,revenue,runtime,vote_average,vote_count,gender_id,gender_name,tmdbId,userId,average_rating,cast_character,cast_namer,crew_job,crew_namer
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Lodovico,Michael Sheen,Adaptation,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Lodovico,Michael Sheen,Director,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Lodovico,Michael Sheen,Writer,William Shakespeare
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Montano,Nicholas Farrell,Adaptation,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Montano,Nicholas Farrell,Director,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Montano,Nicholas Farrell,Writer,William Shakespeare
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Emilia,Anna Patrick,Adaptation,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Emilia,Anna Patrick,Director,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Emilia,Anna Patrick,Writer,William Shakespeare
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Roderigo,Michael Maloney,Adaptation,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Roderigo,Michael Maloney,Director,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Roderigo,Michael Maloney,Writer,William Shakespeare
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Bianca,Indra Ové,Adaptation,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Bianca,Indra Ové,Director,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Bianca,Indra Ové,Writer,William Shakespeare
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Cassio,Nathaniel Parker,Adaptation,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Cassio,Nathaniel Parker,Director,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Cassio,Nathaniel Parker,Writer,William Shakespeare
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Iago,Kenneth Branagh,Adaptation,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Iago,Kenneth Branagh,Director,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Iago,Kenneth Branagh,Writer,William Shakespeare
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Desdemona,Irène Jacob,Adaptation,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Desdemona,Irène Jacob,Director,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Desdemona,Irène Jacob,Writer,William Shakespeare
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Othello,Laurence Fishburne,Adaptation,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Othello,Laurence Fishburne,Director,Oliver Parker
16420,26,0114057,0,Othello,1.845899,0,123.0,7.0,33,18,Drama,16420,70,5.0,Othello,Laurence Fishburne,Writer,William Shakespeare
